b1,b2,b3,b4,b5,b6,b7,b8,b9,target
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
-1,1,-1,1,1,-1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,1,-1,-1,-1,1,1,-1,1,empate
1,-1,1,-1,1,1,-1,1,-1,empate
1,-1,1,1,-1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,-1,1,1,-1,1,-1,1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
1,1,-1,-1,-1,1,1,-1,1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
-1,1,1,1,-1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
-1,1,-1,-1,1,1,1,-1,1,empate
-1,1,1,1,-1,-1,1,-1,1,empate
1,-1,1,1,-1,-1,-1,1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
-1,-1,1,1,1,-1,-1,1,1,empate
1,-1,1,-1,-1,1,1,1,-1,empate
1,-1,-1,-1,1,1,1,1,-1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
-1,1,-1,1,-1,1,1,-1,1,empate
1,1,-1,-1,1,1,1,-1,-1,empate
-1,1,1,1,1,-1,-1,-1,1,empate
1,-1,1,1,1,-1,-1,1,-1,empate
0,0,-1,-1,0,1,1,1,-1,tem jogo
1,0,-1,-1,0,-1,0,1,1,tem jogo
-1,1,1,-1,-1,0,1,0,0,tem jogo
-1,1,0,1,-1,-1,1,0,0,tem jogo
-1,0,-1,1,-1,1,0,0,1,tem jogo
0,1,0,-1,-1,1,1,0,-1,tem jogo
-1,1,1,0,-1,-1,0,0,1,tem jogo
0,-1,1,-1,1,0,-1,1,0,tem jogo
-1,1,-1,-1,1,1,0,0,0,tem jogo
0,0,1,-1,0,0,1,-1,0,tem jogo
-1,1,-1,0,0,0,1,0,0,tem jogo
-1,-1,0,1,0,0,0,0,1,tem jogo
-1,-1,1,0,0,-1,0,1,1,tem jogo
0,0,0,0,1,1,0,-1,-1,tem jogo
0,-1,1,-1,0,0,-1,1,1,tem jogo
1,-1,-1,0,0,1,0,0,0,tem jogo
0,1,0,-1,-1,0,1,-1,1,tem jogo
1,1,0,-1,1,0,-1,-1,0,tem jogo
-1,1,0,-1,0,1,0,1,-1,tem jogo
0,1,1,-1,-1,0,-1,1,0,tem jogo
-1,1,0,0,0,0,1,-1,0,tem jogo
1,-1,1,-1,-1,0,0,0,1,tem jogo
-1,-1,0,1,0,0,-1,1,1,tem jogo
-1,1,-1,0,1,0,0,0,0,tem jogo
1,-1,-1,1,0,-1,-1,1,1,tem jogo
1,1,-1,0,1,-1,-1,0,0,tem jogo
0,1,0,-1,0,0,0,-1,1,tem jogo
1,0,0,0,-1,1,-1,-1,1,tem jogo
1,0,-1,0,-1,-1,1,0,1,tem jogo
1,1,-1,0,0,-1,-1,1,0,tem jogo
-1,0,0,0,1,0,1,-1,0,tem jogo
0,0,1,0,0,0,-1,1,-1,tem jogo
-1,-1,0,-1,1,1,0,1,0,tem jogo
-1,-1,1,0,0,-1,1,1,0,tem jogo
0,0,0,1,0,1,0,-1,-1,tem jogo
0,0,0,1,-1,0,0,-1,1,tem jogo
-1,1,1,-1,0,-1,1,-1,1,tem jogo
0,-1,1,-1,-1,0,0,1,1,tem jogo
1,1,-1,-1,0,-1,1,-1,1,tem jogo
0,1,0,-1,1,-1,0,0,0,tem jogo
0,0,0,1,0,-1,0,1,-1,tem jogo
0,-1,0,-1,0,0,0,1,1,tem jogo
0,0,-1,1,0,0,-1,1,0,tem jogo
0,0,-1,0,0,1,1,-1,0,tem jogo
0,1,1,0,1,-1,-1,0,-1,tem jogo
-1,1,-1,1,-1,1,0,0,0,tem jogo
-1,0,1,1,0,1,-1,0,-1,tem jogo
0,-1,1,1,1,-1,-1,0,0,tem jogo
1,1,-1,0,1,0,0,-1,-1,tem jogo
-1,-1,1,-1,1,1,0,0,0,tem jogo
1,0,0,-1,1,1,-1,-1,1,x ganha
-1,-1,1,0,0,1,1,-1,1,x ganha
0,-1,0,-1,-1,1,1,1,1,x ganha
1,1,1,1,-1,-1,0,-1,0,x ganha
1,-1,-1,1,-1,1,1,1,-1,x ganha
-1,1,-1,1,1,1,-1,1,-1,x ganha
1,0,-1,1,-1,0,1,1,-1,x ganha
1,-1,-1,1,1,1,-1,-1,1,x ganha
1,-1,0,0,-1,-1,1,1,1,x ganha
0,0,1,0,1,-1,1,-1,0,x ganha
1,1,-1,1,-1,-1,1,-1,1,x ganha
1,0,-1,1,-1,-1,1,1,0,x ganha
1,1,1,-1,-1,1,0,-1,0,x ganha
-1,-1,1,1,0,1,0,-1,1,x ganha
-1,-1,1,-1,1,-1,1,1,1,x ganha
1,1,1,0,0,0,0,-1,-1,x ganha
0,-1,1,0,-1,-1,1,1,1,x ganha
0,-1,1,-1,1,0,1,1,-1,x ganha
-1,0,-1,1,0,-1,1,1,1,x ganha
1,0,-1,0,1,-1,0,0,1,x ganha
1,0,-1,0,1,-1,-1,1,1,x ganha
1,1,1,0,-1,0,-1,-1,1,x ganha
-1,-1,0,1,-1,0,1,1,1,x ganha
-1,-1,1,0,-1,0,1,1,1,x ganha
1,-1,-1,1,0,0,1,-1,1,x ganha
-1,-1,1,1,0,1,-1,0,1,x ganha
1,1,-1,0,1,0,-1,-1,1,x ganha
-1,-1,0,1,1,1,1,-1,0,x ganha
-1,1,-1,0,1,1,0,1,-1,x ganha
1,-1,-1,0,1,1,0,-1,1,x ganha
-1,1,-1,1,1,1,-1,-1,1,x ganha
-1,1,0,1,1,-1,0,1,-1,x ganha
-1,1,0,0,1,0,-1,1,0,x ganha
1,0,0,-1,1,-1,1,-1,1,x ganha
-1,-1,1,1,-1,1,0,0,1,x ganha
1,1,1,0,-1,0,1,-1,-1,x ganha
1,-1,0,0,1,-1,1,-1,1,x ganha
0,-1,1,0,-1,1,0,0,1,x ganha
-1,1,1,-1,1,-1,1,-1,1,x ganha
-1,1,0,0,1,-1,-1,1,1,x ganha
-1,1,1,0,1,0,1,-1,-1,x ganha
0,0,-1,-1,1,-1,1,1,1,x ganha
-1,-1,0,0,0,0,1,1,1,x ganha
0,0,-1,1,1,1,0,0,-1,x ganha
-1,0,0,1,-1,-1,1,1,1,x ganha
1,-1,-1,1,-1,1,1,0,0,x ganha
1,1,-1,0,1,-1,-1,0,1,x ganha
-1,1,-1,-1,0,0,1,1,1,x ganha
-1,0,-1,0,-1,1,1,1,1,x ganha
1,1,1,1,-1,0,-1,-1,0,x ganha
-1,0,1,-1,1,-1,-1,1,1,o ganha
-1,0,1,-1,1,0,-1,1,0,o ganha
-1,0,1,-1,1,0,-1,0,1,o ganha
-1,0,1,-1,-1,1,1,1,-1,o ganha
-1,0,1,-1,0,1,-1,1,0,o ganha
-1,0,1,-1,0,0,-1,1,1,o ganha
-1,0,1,0,-1,1,1,0,-1,o ganha
-1,0,1,0,-1,1,0,1,-1,o ganha
-1,0,1,0,-1,0,1,1,-1,o ganha
-1,0,-1,1,1,-1,1,1,-1,o ganha
-1,0,-1,1,-1,1,1,1,-1,o ganha
-1,0,-1,1,-1,1,-1,1,1,o ganha
-1,0,-1,-1,1,1,-1,1,1,o ganha
-1,0,0,1,-1,1,1,0,-1,o ganha
-1,0,0,1,-1,1,0,1,-1,o ganha
-1,0,0,1,-1,0,1,1,-1,o ganha
-1,0,0,-1,1,1,-1,1,0,o ganha
-1,0,0,-1,1,1,-1,0,1,o ganha
-1,0,0,-1,1,0,-1,1,1,o ganha
-1,0,0,-1,0,1,-1,1,1,o ganha
-1,0,0,0,-1,1,1,1,-1,o ganha
0,1,1,1,1,-1,-1,-1,-1,o ganha
0,1,1,1,-1,1,-1,-1,-1,o ganha
0,1,1,1,0,0,-1,-1,-1,o ganha
0,1,1,-1,1,1,-1,-1,-1,o ganha
0,1,1,-1,-1,-1,1,1,-1,o ganha
0,1,1,-1,-1,-1,1,-1,1,o ganha
0,1,1,-1,-1,-1,1,0,0,o ganha
0,1,1,-1,-1,-1,-1,1,1,o ganha
0,1,1,-1,-1,-1,0,1,0,o ganha
0,1,1,-1,-1,-1,0,0,1,o ganha
0,1,1,0,1,0,-1,-1,-1,o ganha
0,1,1,0,0,1,-1,-1,-1,o ganha
0,1,-1,1,1,-1,1,-1,-1,o ganha
0,1,-1,1,1,-1,0,0,-1,o ganha
0,1,-1,1,-1,1,-1,1,-1,o ganha
0,1,-1,1,-1,1,-1,-1,1,o ganha
0,1,-1,1,-1,1,-1,0,0,o ganha
0,1,-1,1,-1,-1,1,1,-1,o ganha
0,1,-1,1,-1,-1,-1,1,1,o ganha
0,1,-1,1,-1,0,-1,1,0,o ganha
0,1,-1,1,-1,0,-1,0,1,o ganha
0,1,-1,1,0,-1,1,0,-1,o ganha
0,1,-1,1,0,-1,0,1,-1,o ganha
0,1,-1,-1,-1,1,-1,1,1,o ganha
0,1,-1,0,1,-1,1,0,-1,o ganha
0,1,-1,0,-1,1,-1,1,0,o ganha
0,1,-1,0,-1,1,-1,0,1,o ganha
0,1,-1,0,-1,0,-1,1,1,o ganha
0,1,-1,0,0,-1,1,1,-1,o ganha